,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,14,,,, AF , -   ,0.00%,,14,,,, AF , -   ,0.00%,,,,,,32,0, -   ,,, -   ,0.00%,,32,0, -   ,,, -   ,0.00%,
,,,,,,,,15,,,, AF , -   ,0.00%,,15,,,, AF , -   ,0.00%,,,,,,33,0, -   ,,, -   ,0.00%,,33,0, -   ,,, -   ,0.00%,
,,,,,,,,16,,,, AF , -   ,0.00%,,16,,,, AF , -   ,0.00%,,,,,,34,0, -   ,,, -   ,0.00%,,34,0, -   ,,, -   ,0.00%,
,,,,,,,,17,,,, AF , -   ,0.00%,,17,,,, AF , -   ,0.00%,,,,,,35,0, -   ,,, -   ,0.00%,,35,0, -   ,,, -   ,0.00%,
,,,,,,,,18,,,, AF , -   ,0.00%,,18,,,, AF , -   ,0.00%,,,,,,36,0, -   ,,, -   ,0.00%,,36,0, -   ,,, -   ,0.00%,
,,,,,,,,19,,,, AF , -   ,0.00%,,19,,,, AF , -   ,0.00%,,,,,,37,0, -   ,,, -   ,0.00%,,37,0, -   ,,, -   ,0.00%,
,,,,,,,,20,,,, AF , -   ,0.00%,,20,,,, AF , -   ,0.00%,,,,,,38,0, -   ,,, -   ,0.00%,,38,0, -   ,,, -   ,0.00%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0, -   ,,, -   ,0.00%,,39,0, -   ,,, -   ,0.00%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0, -   ,,, -   ,0.00%,,40,0, -   ,,, -   ,0.00%,
,INCOME SUMMARY,,,,,,,,,,,,EXPENSE SUMMARY,,,,,,,,,,,,,,,,," 84,000.00 ",,,,,,,," 19,450.00 ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CATEGORY,,,TOTAL,,% OF INCOME,,,,,,,CATEGORY,,,,,TOTAL,,% OF EXPENSE,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL INCOME   ,,,AF," 84,000.00 ",,,,,,,,TOTAL EXPENSES   ,,,,,AF," 19,450.00 ",,,,,,,,,,,,,,,,,,,,,,,,
,Mazuddin Salary,,,AF," 61,000.00 ",73%,73%,,,,,,Fruits,,,,,AF," 2,900.00 ",15%,15%,,,,,,,,,,,,,,,,,,,,,,
,Akramddin Salary,,,AF," 10,000.00 ",12%,12%,,,,,,Produce,,,,,AF," 6,600.00 ",34%,34%,,,,,,,,,,,,,,,,,,,,,,
,Grocery store,,,AF," 7,000.00 ",8%,8%,,,,,,Meat,,,,,AF," 2,350.00 ",12%,12%,,,,,,,,,,,,,,,,,,,,,,
,Ice cream,,,AF," 6,000.00 ",7%,7%,,,,,,Doctor and Medicine,,,,,AF," 1,700.00 ",9%,9%,,,,,,,,,,,,,,,,,,,,,,
,Robinhood,,,AF, -   ,0%,0%,,,,,,Personal expense,,,,,AF," 2,700.00 ",14%,14%,,,,,,,,,,,,,,,,,,,,,,
,Coinbase,,,AF, -   ,0%,0%,,,,,,Bread,,,,,AF," 3,200.00 ",16%,16%,,,,,,,,,,,,,,,,,,,,,,
,Crypto.com,,,AF, -   ,0%,0%,,,,,,General grocery,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,Amazon ,,,AF, -   ,0%,0%,,,,,,Education,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,401k,,,AF, -   ,0%,0%,,,,,,Gift,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,Zakat,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,Charity,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,Phone Credit,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,AF, -   ,0%,0%,,,,,,,,,,,AF, -   ,0%,0%,,,,,,,,,,,,,,,,,,,,,,
,TOTAL INCOME   ,,,AF," 84,000.00 ",,,,,,,,TOTAL EXPENSES   ,,,,,AF," 19,450.00 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
